Text,Type
"Large prospective studies of Alzheimer's disease (AD) have sought to understand the pathological evolution of AD and factors that may influence the rate of disease progression. Estimates of rates of cognitive change are available for 12 or 24 months, but not for shorter time frames (e.g., 3 or 6 months). Most clinical drug trials seeking to reduce or modify AD symptoms have been conducted over 12- or 24-week periods. As such, we aimed to characterize the performance of a group of healthy older adults, adults with amnestic mild cognitive impairment (aMCI), and adults with AD on the CogState battery of tests over short test-retest intervals. This study recruited 105 healthy older adults, 48 adults with aMCI, and 42 adults with AD from the Australian Imaging, Biomarkers, and Lifestyle study and administered the CogState battery monthly over 3 months. The CogState battery of tests showed high test-retest reliability and stability in all clinical groups when participants were assessed over 3 months. When considered at baseline, the CogState battery of tests was able to detect AD-related cognitive impairment. The data provide important estimates of the reliability, stability, and variability of each cognitive test in healthy older adults, adults with aMCI, and adults with AD. This may potentially be used to inform future estimates of cognitive change in clinical trials.",Biology
"I have never seen this in the theater, my second viewing was tonight on big screen DVD as opposed to old VHS tape from rental store.<br /><br />Saucey for it's time and I'm sure the Hayes code was pushed to it's limits.<br /><br />Hitch's pallet here is the ""game play"" between two combatants. And yes if Guy calls the cops on Bruno right away the movie is 63 min shorter, HELLO people do you always make the best or most logical choice. How many times have you been in either person's shoes and made the right choice? For the love of God it's called poetic license..However as Guy sees the situation he has found himself in he takes it upon himself to rectify it. He does not solicit help nor does he lie to his would be new wife. Her defense of him sets off the final show down with Bruno feeling he has one more card to play.<br /><br />For the cop shot-ting an innocent person in pre-cam corder days and before rules of engagement this type of thing did happen. In the post Rodney King world a presidential candidate backed the police in sending 43 bullets at an unarmed man. If you haven't seen or witnessed outrageous police behavior your blind or have an application pending for the academeny.<br /><br />Back to the movie...<br /><br />Go watch it with. Try and wear a post WWII filter and pretend your seeing a great suspense movie like many did for the first time back then, and sure it's been copied since but your looking at one of the source of inspiration for many that followed.",Non-Biology
The effects of hyperthermia (HT) and irradiation (RT) on a cultured human glioma cell line (KC) was examined by a colony formation assay and immuno-histochemical methods using monoclonal antibody (MoAb) against bromodeoxyuridine (BrdU) and MoAb Ki-67. The colony formation assay revealed that HT inhibited the cell survival in time and temperature dependent fashion. RT also inhibited the cell survival depending on the irradiation doses. The combination of HT and RT showed an additive effect. The immunohistochemical examination indicated that both HT and RT reduced the BrdU labeling index and Ki-67 positive rate of the surviving cells. HT mainly affected the cells in the S-phase and RT seemed to affect the cells in the G2+ M phase. The combination of HT and RT also showed an additive effect. These results suggest that the combined therapy will be useful in the treatment of malignant gliomas.,Biology
"Wladyslaw Starewicz was a Russian-born animator living in France who did incredible things using stop-motion. I've seen a couple of these films before and they feature his favorite subjects--insects, frogs and various animals. They are extremely realistic and lifelike and even today are amazing to watch--the quality is simply fantastic.<br /><br />This one stars lots and lots of frogs. They appeal to their god, Jupiter, to give them a king. Why do they need a king, wonders Jupiter--their lives are perfectly fine now. So, to teach them a nasty lesson, he makes an Egret the king and one by one it starts eating its subjects! Then, the frogs once again appeal to Jupiter, who states the obvious moral that it's best to be happy with what you have! <br /><br />While the animation quality is incredible, this is a very creepy film for kids. I would think this would terrify them both by how real the animals look as well as the story itself which is not for the faint of heart!",Non-Biology
"The aim of this study was to explore the role of interleukin-37 (IL-37) in imbalance of T helper (Th)17/regulatory T cells (Tregs) in hand, foot, and mouth disease (HFMD). The proportions of CD4+ IL-17A+ Th17 cells and CD4+ CD25+Foxp3+ Tregs in peripheral blood or peripheral blood mononuclear cells (PBMCs) from HFMD patients and healthy controls were measured by fluorescence activated cell sorter. The level of IL-37, IL-10, IL-17A, IL-23, and transforming growth factor â1 (TGF-â1) in serum or PBMCs of HFMD patients and control subjects were detected using enzyme-linked immunosorbent assay. Results showed that Th17 cells proportion and IL-17A and IL-23 levels were highly increased, whereas Tregs proportion and IL-10 and TGF-â1 levels were significantly decreased in HFMD patients. Moreover, IL-37 stimulation elevated Tregs proportion but reduced Th17 cell proportion in subjects with HFMD. On the contrary, we found methylprednisolone pulse therapy/methylprednisolone combinated with intravenous gamma globulin inhibits Th17/Treg imbalance through upregulation of IL-37 in HFMD. In conclusion, IL-37 inhibits the imbalance of Th17/Tregs in HFMD.",Biology
"For those who have enjoyed the Asterix books and films, you'll LOVE this film! Yes, I will admit that it does mix some of the books and films, but the characters are brilliant and it's not just people showing off their CGI left, right and centre. I've already seen it several times and laughed my socks off at it.<br /><br />Of course it contains the main heroes Asterix (Astérix), Obelix (Obélix) and Dogmatix (Idéfix), but this time they have someone new to... deal with.<br /><br />With a sense of humour like that, the Gauls will go on and on and on. Bless 'em.",Non-Biology
"Human immunoglobulin G2 (IgG2) responses are gamma interferon (IFN-gamma) dependent, and monocyte-derived dendritic cells (mDCs) promote IgG2 production. DCs spontaneously emerge from monocytes in cultures prepared from localized aggressive periodontitis (LagP) patients, and these patients have high levels of IgG2 that is reactive with Actinobacillus actinomycetemcomitans. These results prompted the hypothesis that an interaction between mDCs and A. actinomycetemcomitans promotes IFN-gamma production, and IFN-gamma is known to promote both immunopathology and protective IgG2. A. actinomycetemcomitans induced mDCs to produce interleukin-12 (IL-12), and the addition of A. actinomycetemcomitans and DCs to cultured peripheral blood lymphocytes elicited high levels of IFN-gamma within just 24 h. In contrast, IL-4 was not detectable although DC-derived IL-10 production was apparent. A. actinomycetemcomitans-stimulated macrophages prepared from the same monocytes lacked the ability to induce IL-12 or IFN-gamma responses. NK cells of the innate immune system were the primary source of this early IFN-gamma, although CD8 T cells also contributed some. The NK cell-derived IFN-gamma was IL-12 dependent, and A. actinomycetemcomitans-DC interactions were Toll-like receptor 4 dependent. A. actinomycetemcomitans and A. actinomycetemcomitans lipopolysaccharide (LPS) were more potent than Escherichia coli and E. coli LPS in the ability to induce DC IL-12 and IFN-gamma. The ability of A. actinomycetemcomitans-stimulated DCs to induce NK cells to rapidly produce IFN-gamma in the absence of detectable IL-4 suggests their potential for skewing responses toward Th1. This may help explain the presence of Th1-associated cytokines in gingival crevicular fluid (GCF) from LagP patients and the high levels of IgG2 in their serum and GCF that is reactive with A. actinomycetemcomitans.",Biology
"Right on Colmyster. I totally concur with all your sentiments and add these. I came to my PC especially to post a comment on this dreadful (minus)Bgrade movie. I was going to say that in this day and age I am at a loss to comprehend how anyone could possibly make such a woeful movie - but you beat me to it. Anyone reading this and Colmyster's comment, trust me ---- DON't waste you time and money. It's an absolute shocker. The acting is totally pathetic, the script is way worse, and the (so called) special effects are a joke. Surely no-one actually invested money to make this movie? I really cannot think of anything else to say about this so called horror sci-fi product, but must pad this commentary to make 10 lines of comment in order to have it accepted for submission.",Non-Biology
"The substance P receptor (SPR) is a G protein-coupled receptor (GPCR) that plays a key role in pain regulation. The SPR desensitizes in the continued presence of agonist, presumably via mechanisms that implicate G protein-coupled receptor kinases (GRKs) and beta-arrestins. The temporal relationship of these proposed biochemical events has never been established for any GPCR other than rhodopsin beyond the resolution provided by biochemical assays. We investigate the real-time activation and desensitization of the human SPR in live HEK293 cells using green fluorescent protein conjugates of protein kinase C, GRK2, and beta-arrestin 2. The translocation of protein kinase C betaII-green fluorescent protein to and from the plasma membrane in response to substance P indicates that the human SPR becomes activated within seconds of agonist exposure, and the response desensitizes within 30 s. This desensitization process coincides with a redistribution of GRK2 from the cytosol to the plasma membrane, followed by a robust redistribution of beta-arrestin 2 and a profound change in cell morphology that occurs after 1 min of SPR stimulation. These data establish a role for GRKs and beta-arrestins in homologous desensitization of the SPR and provide the first visual and temporal resolution of the sequence of events underlying homologous desensitization of a GPCR in living cells.",Biology
"A close reading of popular discourses on women and the AIDS epidemic reveals the ways in which such depictions produce and reiterate power-laden notions of normative sexuality. Prostitutes, one frequently depicted 'kind' of woman, are presented as indiscriminate, polluting to men and categorically different from 'normal' women. Other women depicted in AIDS discourses are almost always HIV-positive mothers or pregnant women; these women are usually only of concern insofar as they may infect their babies. The themes of self-control, self-discipline and personal responsibility may also stigmatize women. Such discourses suggest that those who have AIDS are responsible for their own illness. They also deflect attention away from the socioeconomic contexts that may make it more difficult for some to avoid infection, away from the connections between poverty, illness and disempowerment, and away from systematic inequalities that characterize U.S. society.",Biology
