sentence,label
"I see you
Playing in the garden
Outside my window
You're like your father
I see right through you
Just like your father
I thought I knew you
It's a panic in paradise
It's a panic, it's in paradise
Round and round and round and round and round
You can't come here
(Round and round and round and round and round)
You can't cry
(Round and round and round and round and round)
You can't come here
(Round and round and round and round and round)
You can't cry
(Round and round and round and round and round)
I see her playing
In the garden
I was once like her
You did this to me
I don't remember
When this offense began
I don't remember
I can't undo what's done
Round and round and round and round and round
You can't come here
(Round and round and round and round and round)
You can't cry
(Round and round and round and round and round)
You can't come here
(Round and round and round and round and round)
You can't cry
(Round and round and round and round and round)
You can't come here
(Round and round and round and round and round)
You know why
(Round and round and round and round and round)
You can't come here
(Round and round and round and round and round)
You know why
(Round and round and round and round and round)
I'll keep my secret
With me until I die
I'll keep my secret
And I don't know why
Don't know why
Round and round and round and round and round
You can't come here
(Round and round and round and round and round)
You can't cry
(Round and round and round and round and round)
You can't come here
(Round and round and round and round and round)
You know why
(Round and round and round and round and round)
I can't go there
(Round and round and round and round and round)
I will cry
(Round and round and round and round and round)
I can't go there
(Round and round and round and round and round)
I won't cry
(Round and round and round and round and round)
Round and round and round and round and round
Round and round and round and round and round
Round and round and round and round and round
...",Yes
Pete Buttigieg Calls 'Door' Solution To Mass Shootings 'Definition Of Insanity',No
6 Services You Probably Didn't Know Your Local Bank Branch Offers,No
"Ollie ollie oxen free!
Like one, two, three
Red light, green light, one, two, three
Yo I pop six boxes, play some scalezes
Pitch the ball I'ma smack that shit
Yeah, ohhhhhh, going.. going
Yeah yeah what up son?
Yo I got this twenty two nigga play me like..
Nah, I ain't got no bullets
Yeah yeah yeah yeah
Top two for five, three for five, we rollin!
Now I'm in too deep
Only sixteen already hold a name in the street
Makin the fifth scream, rockin older niggas to sleep
Make a fiend strip naked 'cause he owed for a week
Now the Squad's getting recognized, supplyin connects with pies
Pumpin pounds of weight, nigga like exercise
Joe been over quarter five dope and homicide
Long before Charlie got knocked, until Madonna died
Young and not givin a fuck
There ain't a nigga I ain't hit when I buck and left 'em shit outta luck
I'ma gangsta like my daddy was, hittin number spots
Sendin me to my room while he was puffin pot
Still I use to peak from the door, couldn't believe what I saw
Stacks of money on the bed and the floor
It wasn't long til I did what he did
I was an innocent kid and got exposed to the life that he lived
I went from grams into O's, pounds to bricks
On the strip pimpin hoes on some goldie shit
I'ma gangsta by destiny, OG's selected me
I earned my spot, my whole team elected me
[Chorus]
Gangsta, gangsta
I wanna be a gangsta
My daddy was a gangsta
Gangsta, gangsta
I wanna be a gangsta
My daddy was a gangsta
Yeah, uh, yo, uh
Here goes this chick doing ten in the bing
But 'less we rhyme time we see her do it again
She started out fuckin dudes that resembled her father
Mom knew shoulda schooled her but the bitch didn't bother
You couldn't blame her 'cause she got it from her
She was a rider from jump, her pop's died in the hands of a chump
Now she's mad at the world, no more daddy's little girl
Now she's rockin bandanas, no more Shirley Temple girl
Now she be runnin wit some scramblers that be down in Alabama
Packin twin hammers, screamin ""Life doesn't matter""
It's a vicious cycle, her game is pretending to like you
Thinkin you getting head but she's just duckin so they can snipe you
Movin from state to state, runnin everything from guns to trains
And pushing packs from eight to eight
You know I can't say her name but she was a looker
Pretty thing, such a shame how this life has took her
Now she's raising hell in the cell, no more his are hollering
You might suffer the same fate if you repeat the following..
Sell drugs, use drugs, get caught up in the mix
End up locked up or dead in a casket, that's it",Yes
"My baby's got a cherry eye
It comes out when the moon is high
Oh, when the moon is high
Oh, my baby's got a heart of gold
But every time the sun goes low
Oh, oh, you know the love don't show
Just when I think I'm on the road to heaven
I see I'm only on the road to hell
The devil's got my baby
Somebody help me please
The devil's got my baby
I think he's really after me
Oh, my baby's got a talk so sweet
Every time the light gets weak
Oh, the promises don't keep
Thought I was riding on the train to heaven
But I'm on the choo choo straight to hell
The devil's got my baby
Somebody help me please
The devil's got my baby
I think he's really after me
Oh yeah, just when I think I'm on my way to heaven
I see I'm only on my way to hell
The devil's got my baby
Somebody help me please
The devil's got my baby
But I know he's really after me
Oh yeah, the devil's got my baby
Oh, the devil's got my man
The devil's got my baby
I know, I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me
I know he really wants me",Yes
"There was a time when we were down and out
There was a place when we were starting over
We let the bough break
We let the heartache in
Who's sorry now?
There was a world when we were standing still
And for a moment we were separated
And then you found her
You let the stranger in
Who's sorry now? Who's sorry now?
What, what kind of fool
Tears it apart
Leavin' me pain and sorrow
Losin' you now
Wonderin' why?
Where will I be tomorrow?
Forever more that's what we are to be
Without each other,
We'll be rememberin' when
There was a time when we were down and out
(We cried)
There was a place when we were starting over
(We lied)
We let the bough break
We let the heartache in
Who's sorry now? Who's sorry now?
What , what kind of fool?
Tears it apart
Leaving me pain and sorrow
Oh, losin' you now, how can I win?
Where will I be tomorrow?
Was there a moment when I cut you down
Played around? What have I done?
I only apologize
For being as they say, the last to know
It has to show when someone is in your eyes
What, what kind of fool tears it apart?
Leaving me pain and sorrow
Losing you now, wondering why?
Where will I be tomorrow?
What, what kind of fool
Tears it apart, leavin' me pain and sorrow
Losin' you now how can I win?
Where will I be tomorrow?",Yes
"Sometimes I really think it's over
But your blue eyes have never lost a fool
One kiss and I'm right back believing
Oh, no one mends a broken heart like you
You always find all the scattered pieces
Your words turn lies back into truth
Your love opens every door it closes
Oh, no one mends a broken heart like you
Your touch knows the fine art of healing
Your heart knows when to make it's move
Practice makes perfect, don't it, darling
Oh, no one mends a broken heart like you
You always find all the scattered pieces
Your words turn lies back into truth
Your love opens every door it closes
Oh, no one mends a broken heart like you
Oh, no one mends a broken heart like you",Yes
"Why can't I walk down a street free of suggestion?
Is my body the only trait in the eye's of men?
I've got some skin
You want to look in there?
Lays no reward in what you discover
You spent yourself watching me suffer
Suffer your words, suffer your eyes, suffer your hands
Suffer your interpretation of what it is to be a man
I've got some skin
You want to look in?
She does nothing to deserve it
He only wants to observe it
We sit back like they taught us
We keep quiet like they taught us
He just wants to prove she does nothing to remove it
We don't want anyone to mind us
So, we play the roles that they assigned us
She does nothing to conceal it
He touches her 'cause he wants to feel it
We blame her for being there
But, we are all guilty",Yes
"We set forth
A retinue
With steed and cart
So we roved the land
Stealthily
Sailed out to find
To find new shores
As the passage led
Set sail, ye hearts
Into sea of hope
The druid's blessed
The mount foreseen
We grudge no pain
We faced distress
Yet a glowing wick
Kindles fire
Alike a luminal place
A dormant beacon we faced
The heaven foretold
A fortress of ages to come
At the rise of a new dawn
Woke the daughter of the sun
Wafted on black wings
Vastly soaring boding skies
We followed
The rites of old
As we stoke out
Ordained new land
We held our breath
As the skies got black
And a storm arose
A swarm of crows
Lo and behold
Black birds branched out
A circle wide
In the raven skies
They lined nemeton
Of the fulgent hill
And again and again and again
The presage witnessed
Alike a luminal place
A dormant beacon we faced
The heaven foretold
A fortress of ages to come
Adiantunne ni exverti
Adiantunne di nappisetu
Adiantunne ni exverti
Adiantunne di nappisetu
At the rise of a new dawn
Woke the daughter of the sun
Wafted on black wings
Vastly soaring boding skies
At the rise of a new dawn
Woke the daughter of the sun
Wafted on black wings
Vastly soaring boding skies",Yes
"I am back with a vendetta
With that same hunger I had back
In the day when my TV
Had a hanger for an antenna.
Y'all is just beginners.
We been sweating through hot summers
And frozen cold dinners.
And now y'all ask
What the fuck got in our shit.
You want to know, let me explain this.
It's the same shit that we came with
Back in 95 and built our name with.
We maintained it and now your lame clique
Want to come out of thin air
Trying to claim this.
You see, you ain't shit
And just about through.
To all my peoples who was close to me,
To all my peoples who used to
Smile and toast to me,
Those who boast with me,
How come we ain't down
Like we supposed to be?
Everything we got we got the hard way.
Built it brick by brick our way.
So put your hands up high.
I'm so fucking hungry,
I'm starving to death,
Trying to eat until there's no food left.
I'm so fucking hungry,
I'm starving to death,
Trying to breathe until I got no breath.
I'm coming through putting dents in the game.
I'm sick and tired of all
These wack bands all sound the same.
I should have rented your name,
I'm ending your 15 minutes of fame.
I'm here now...
Things will change.
A rock and roll singer with a rap mentality.
It's your fault, y'all did this,
Y'all brought this out of me.
Doubtin' me ain't ever got
No one nothing but proved wrong,
I been doing this here, sonny, for too long.
This is the sound of your world coming down.",Yes
